input_term,mapped_symptom,language
rash,skin_rash,en
fever,high_fever,en
vomiting,vomiting,en
headache,headache,en
abdominal pain,abdominal_pain,en
nausea,nausea,en
diarrhea,diarrhoea,en
cough,cough,en
cold,runny_nose,en
cold,chills,en
cold,throat_irritation,en
طفح جلدي,skin_rash,ar
حمى,high_fever,ar
قيء,vomiting,ar
صداع,headache,ar
آلام في البطن,abdominal_pain,ar
غثيان,nausea,ar
إسهال,diarrhoea,ar
سعال,cough,ar
زكام,runny_nose,ar
قشعريرة,chills,ar
التهاب الحلق,throat_irritation,ar
cold,continuous_sneezing,en
fever,mild_fever,en
sore throat,throat_irritation,en
sore throat,patches_in_throat,en
vomit,vomiting,en
nauseated,nausea,en
tiredness,fatigue,en
tiredness,lethargy,en
weight gain,weight_gain,en
weight loss,weight_loss,en
painful urination,burning_micturition,en
urination pain,burning_micturition,en
urine pain,burning_micturition,en
stomach pain,abdominal_pain,en
stomach pain,stomach_pain,en
belly pain,abdominal_pain,en
body ache,muscle_pain,en
body ache,joint_pain,en
body ache,back_pain,en
head pain,headache,en
eye pain,pain_behind_the_eyes,en
runny nose,runny_nose,en
sneezing,continuous_sneezing,en
dry lips,drying_and_tingling_lips,en
itchy skin,itching,en
joint stiffness,movement_stiffness,en
joint stiffness,swelling_joints,en
muscle weakness,muscle_weakness,en
irregular heartbeat,fast_heart_rate,en
yellow skin,yellowish_skin,en
yellow eyes,yellowing_of_eyes,en
fatigued,fatigue,en
confused,altered_sensorium,en
dizzy,dizziness,en
depressed,depression,en
bloody stool,bloody_stool,en
constipated,constipation,en
burning pee,burning_micturition,en
loss of appetite,loss_of_appetite,en
no hunger,loss_of_appetite,en
weight increase,weight_gain,en
anxious,anxiety,en
sad,depression,en
red eyes,redness_of_eyes,en
nosebleed,bloody_stool,en
tingly lips,drying_and_tingling_lips,en
tingling lips,drying_and_tingling_lips,en
itch,itching,en
itchiness,itching,en
cramps,cramps,en
abdominal cramps,abdominal_pain,en
abdominal cramps,cramps,en
confusion,altered_sensorium,en
dehydrated,dehydration,en
swollen stomach,swelling_of_stomach,en
pain when pooping,pain_during_bowel_movements,en
anal pain,pain_in_anal_region,en
urine smell,foul_smell_of_urine,en
bloating,distention_of_abdomen,en
hard to balance,loss_of_balance,en
hard to balance,unsteadiness,en
limb pain,weakness_in_limbs,en
joint pain,joint_pain,en
muscle pain,muscle_pain,en
neck stiffness,stiff_neck,en
difficulty urinating,burning_micturition,en
difficulty walking,loss_of_balance,en
frequent urination,continuous_feel_of_urine,en
gas,passage_of_gases,en
no smell,loss_of_smell,en
bad smell,foul_smell_of_urine,en
face swelling,puffy_face_and_eyes,en
sweating,sweating,en
heart racing,fast_heart_rate,en
lightheaded,dizziness,en
flu,chills,en
flu,runny_nose,en
flu,throat_irritation,en
flu,high_fever,en
flu,headache,en
ارتفاع في درجة الحرارة,high_fever,ar
تعب,fatigue,ar
خمول,lethargy,ar
ألم في الرأس,headache,ar
دوخة,dizziness,ar
كحة,cough,ar
إمساك,constipation,ar
